Total,offer
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.45
100.0,0.45
100.0,0.45
100.0,0.45
100.0,0.45
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.46
100.0,0.46
100.0,0.46
100.0,0.46
100.0,0.46
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.3
100.0,0.3
100.0,0.3
100.0,0.3
100.0,0.3
100.0,0.2
100.0,0.2
100.0,0.2
100.0,0.2
100.0,0.2
100.0,0.25
100.0,0.25
100.0,0.25
100.0,0.25
100.0,0.25
100.0,0.28
100.0,0.28
100.0,0.28
100.0,0.28
100.0,0.28
100.0,0.43
100.0,0.43
100.0,0.43
100.0,0.43
100.0,0.43
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.49
100.0,0.49
100.0,0.49
100.0,0.49
100.0,0.49
100.0,0.54
100.0,0.54
100.0,0.54
100.0,0.54
100.0,0.54
100.0,0.42
100.0,0.42
100.0,0.42
100.0,0.42
100.0,0.42
100.0,0.35
100.0,0.35
100.0,0.35
100.0,0.35
100.0,0.35
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.39
100.0,0.39
100.0,0.39
100.0,0.39
100.0,0.39
100.0,0.36
100.0,0.36
100.0,0.36
100.0,0.36
100.0,0.36
100.0,0.41
100.0,0.41
100.0,0.41
100.0,0.41
100.0,0.41
100.0,0.46
100.0,0.46
100.0,0.46
100.0,0.46
100.0,0.46
100.0,0.57
100.0,0.57
100.0,0.57
100.0,0.57
100.0,0.57
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.39
100.0,0.39
100.0,0.39
100.0,0.39
100.0,0.21
100.0,0.21
100.0,0.21
100.0,0.21
100.0,0.47
100.0,0.4
100.0,0.38
100.0,0.5
100.0,0.35
100.0,0.05
100.0,0.31
100.0,0.35
100.0,0.4
100.0,0.3
100.0,0.41
100.0,0.49
100.0,0.21
100.0,0.5
100.0,0.5
100.0,0.0
100.0,0.28
100.0,0.49
100.0,0.3
